组合名称,股票代码,股票名称,市场,成本价,当前价格,收益率(%),盈亏比例(%),实际持仓比例(%)
ETF灵蛇智投,159766,旅游ETF,其他,0.693,0.67,-3.93,-3.32,100.0
波段优选ETF,516640,芯片龙头ETF,其他,0.829,0.757,-10.870000000000001,-8.81,100.0
科技腾飞精选,516350,芯片ETF易方达,其他,0.923,0.844,-10.34,-8.559999999999999,100.0
热点追击ETF,159636,港股通科技30ETF,其他,1.254,1.232,-1.03,-1.7500000000000002,49.43
热点追击ETF,513120,港股创新药ETF,其他,0.8587,0.936,4.81,9.01,50.14999999999999
龙头驾到ETF,159316,恒生创新药ETF,其他,1.07,1.046,-2.65,-2.2399999999999998,100.0
超短稳定复利,603489,八方股份,沪深A股,25.08,24.18,-8.12,-3.5900000000000003,29.2
超短稳定复利,300966,共同药业,创业板,15.9292,15.75,-0.8699999999999999,-1.1900000000000002,10.14
超短稳定复利,300565,科信技术,创业板,10.6306,10.29,-1.22,-3.2,4.93
梦想一号,002697,红旗连锁,沪深A股,6.45,5.74,-6.22,-11.01,15.25
梦想一号,000807,云铝股份,沪深A股,12.542,15.15,3.1399999999999997,20.630000000000003,5.52
梦想一号,600161,天坛生物,沪深A股,23.98,19.09,-4.78,-20.39,5.66
梦想一号,688981,中芯国际,科创板,10.6932,87.97,3.47,722.77,1.2
低位题材,688568,中科星图,科创板,58.08,49.7,-52.49,-14.499999999999998,100.0
波段突击,301208,中亦科技,创业板,36.0406,37.83,7.62,4.96,64.86
波段突击,300170,汉得信息,创业板,17.4981,18.59,5.13,6.239999999999999,35.15
中线龙头,002734,利民股份,沪深A股,14.21,14.12,-1.47,-0.35000000000000003,48.51
中线龙头,002365,永安药业,沪深A股,13.2,13.99,13.8,6.29,51.38
