组合名称,代码,股票名称,市场,操作,最新价,当前比例%,新比例%,时间

超短稳定复利,300447,全信股份,创业板,买入,13.83,0.0,20.0,2025-04-02 13:44

超短稳定复利,603315,福鞍股份,沪深A股,卖出,13.38,20.27,10.0,2025-04-02 13:42

超短稳定复利,300247,融捷健康,创业板,卖出,3.84,19.75,0.0,2025-04-02 13:35

超短稳定复利,603172,万丰股份,沪深A股,买入,14.76,0.0,20.0,2025-04-02 09:58

超短稳定复利,000554,泰山石油,沪深A股,卖出,6.21,4.91,0.0,2025-04-02 09:51

超短稳定复利,002102,能特科技,沪深A股,卖出,2.98,9.96,0.0,2025-04-02 09:50

这是新增数据,002102,能特科技,沪深A股,卖出,2.98,9.96,0.0,2025-04-02 09:51

这是新增数据,002102,能特科技,沪深A股,卖出,2.98,9.96,0.0,2025-04-02 09:52

