数据分类,数据详情
基础信息,股票代码：601728.SH | 股票简称：中国电信 | 当前股价：7.81元 | 诊断日期：<span class='date'>[诊断日期:2025年05月09日 17:05]</span>
综合评分,总得分：5.1分 | 行业排名：10/47 | 击败市场：75%
操作建议,观望
短期趋势,弱势下跌过程中，可逢高卖出，暂不考虑买进。
中期趋势,
长期情况,已有799家主力机构披露2024-12-31报告期持股数据，持仓量总计145.18亿股，占流通A股71.68%
持仓建议,
各维度评分,"基本面：7.0分
资金面：7.4分
消息面：5.7分
技术面：2.1分
行业表现：3.6分"
关键指标,支撑位：短线 7.680元 | 超短线 7.810元 | 压力位：短线 8.310元 | 超短线 7.830元 | 资金流向：中国电信(601728)，今日净流进2374.6万元，市场排名第246位
详细解读,"基本面：该公司运营状况良好，多数机构认为该股长期投资价值较高。
资金面：近5日内该股资金总体无进出。据统计，近10日内主力筹码很集中，呈高度控盘状态。
消息面：近期该股消息面总体多空平衡，没有较强的利好或利空趋势。
技术面：近期的平均成本为<strong>7.83元</strong>。
行业表现：近10日来该行业走势不明显，跑赢大盘。"
财务表现,财务总评分：4.355555555分 |  | 行业排名 
数据总结,"1. 综合评分5.1分，行业排名10/47，击败75%同行。
2. 资金面显示近5日内该股资金总体无进出。据统计，近10日内主力筹码很集中，呈高度控盘状态。。
3. 基本面该公司运营状况良好，多数机构认为该股长期投资价值较高。。
4. 技术面近期的平均成本为<strong>7.83元</strong>。，当前支撑位7.680元，压力位8.310元。"
操作建议,近期的平均成本为<strong>7.83元</strong>。该股资金方面呈流出状态，投资者请谨慎投资。该公司运营状况良好，多数机构认为该股长期投资价值较高。 
